item_id,coverage_id,areaperil_id,vulnerability_id,group_id
1,1,919,6,1
2,2,345,7,1
3,3,345,8,1
4,4,205,9,1
5,5,919,10,1
6,6,919,11,1
7,7,345,12,1
8,8,345,13,1
9,9,345,14,1
10,10,919,20,1
11,11,345,21,1
12,12,317,22,1
13,13,919,23,1
14,14,345,24,1
15,15,317,25,1
16,16,317,26,1
17,17,345,27,1
18,18,317,31,1
19,19,919,32,1
20,20,345,33,1
21,21,317,34,1
22,22,919,35,1
23,23,919,36,1
24,24,317,44,1
25,25,919,45,1
26,26,919,46,1
27,27,919,47,1
28,28,919,48,1
29,29,919,49,1
30,30,345,50,1
31,31,919,51,1
32,32,919,52,1
33,33,428,6,1
34,34,845,7,1
35,35,428,10,1
36,36,428,11,1
37,37,428,20,1
38,38,845,21,1
39,39,1058,22,1
40,40,428,23,1
41,41,845,24,1
42,42,1058,25,1
43,43,1058,26,1
44,44,845,27,1
45,45,1058,31,1
46,46,428,32,1
47,47,845,33,1
48,48,1058,34,1
49,49,428,35,1
50,50,428,36,1
51,51,1058,44,1
52,52,428,45,1
53,53,428,46,1
54,54,428,47,1
55,55,428,48,1
56,56,428,49,1
57,57,845,50,1
58,58,428,51,1
59,59,476,6,1
60,60,480,7,1
61,61,476,10,1
62,62,476,11,1
63,63,476,20,1
64,64,480,21,1
65,65,475,22,1
66,66,476,23,1
67,67,480,24,1
68,68,475,25,1
69,69,475,26,1
70,70,480,27,1
71,71,475,31,1
72,72,476,32,1
73,73,480,33,1
74,74,475,34,1
75,75,476,35,1
76,76,476,36,1
77,77,475,44,1
78,78,476,45,1
79,79,476,46,1
80,80,476,47,1
81,81,476,48,1
82,82,476,49,1
83,83,480,50,1
84,84,476,51,1
85,85,476,52,1
86,86,41,6,1
87,87,1026,7,1
88,88,41,10,1
89,89,41,11,1
90,90,41,20,1
91,91,1026,21,1
92,92,669,22,1
93,93,41,23,1
94,94,1026,24,1
95,95,669,25,1
96,96,669,26,1
97,97,1026,27,1
98,98,669,31,1
99,99,41,32,1
100,100,1026,33,1
101,101,669,34,1
102,102,41,35,1
103,103,41,36,1
104,104,669,44,1
105,105,41,45,1
106,106,41,46,1
107,107,41,47,1
108,108,41,48,1
109,109,41,49,1
110,110,1026,50,1
111,111,41,51,1
112,112,356,6,1
113,113,599,7,1
114,114,356,10,1
115,115,356,11,1
116,116,356,20,1
117,117,599,21,1
118,118,358,22,1
119,119,356,23,1
120,120,599,24,1
121,121,358,25,1
122,122,358,26,1
123,123,599,27,1
124,124,358,31,1
125,125,356,32,1
126,126,599,33,1
127,127,358,34,1
128,128,356,35,1
129,129,356,36,1
130,130,358,44,1
131,131,356,45,1
132,132,356,46,1
133,133,356,47,1
134,134,356,48,1
135,135,356,49,1
136,136,599,50,1
137,137,356,51,1
138,138,356,52,1
139,139,483,6,1
140,140,786,7,1
141,141,483,10,1
142,142,483,11,1
143,143,483,20,1
144,144,786,21,1
145,145,482,22,1
146,146,483,23,1
147,147,786,24,1
148,148,482,25,1
149,149,482,26,1
150,150,786,27,1
151,151,482,31,1
152,152,483,32,1
153,153,786,33,1
154,154,482,34,1
155,155,483,35,1
156,156,483,36,1
157,157,482,44,1
158,158,483,45,1
159,159,483,46,1
160,160,483,47,1
161,161,483,48,1
162,162,483,49,1
163,163,786,50,1
164,164,483,51,1
165,165,930,6,1
166,166,334,7,1
167,167,930,10,1
168,168,930,11,1
169,169,930,20,1
170,170,334,21,1
171,171,543,22,1
172,172,930,23,1
173,173,334,24,1
174,174,543,25,1
175,175,543,26,1
176,176,334,27,1
177,177,543,31,1
178,178,930,32,1
179,179,334,33,1
180,180,543,34,1
181,181,930,35,1
182,182,930,36,1
183,183,543,44,1
184,184,930,45,1
185,185,930,46,1
186,186,930,47,1
187,187,930,48,1
188,188,930,49,1
189,189,334,50,1
190,190,930,51,1
191,191,930,52,1
192,192,1211,6,1
193,193,22,7,1
194,194,1211,10,1
195,195,1211,11,1
196,196,1211,20,1
197,197,22,21,1
198,198,1119,22,1
199,199,1211,23,1
200,200,22,24,1
201,201,1119,25,1
202,202,1119,26,1
203,203,22,27,1
204,204,1119,31,1
205,205,1211,32,1
206,206,22,33,1
207,207,1119,34,1
208,208,1211,35,1
209,209,1211,36,1
210,210,1119,44,1
211,211,1211,45,1
212,212,1211,46,1
213,213,1211,47,1
214,214,1211,48,1
215,215,1211,49,1
216,216,22,50,1
217,217,1211,51,1
218,218,750,6,1
219,219,523,7,1
220,220,750,10,1
221,221,750,11,1
222,222,750,20,1
223,223,523,21,1
224,224,1188,22,1
225,225,750,23,1
226,226,523,24,1
227,227,1188,25,1
228,228,1188,26,1
229,229,1188,31,1
230,230,750,32,1
231,231,523,33,1
232,232,1188,34,1
233,233,750,35,1
234,234,750,36,1
235,235,1188,44,1
236,236,750,45,1
237,237,750,46,1
238,238,750,47,1
239,239,750,48,1
240,240,750,49,1
241,241,523,50,1
242,242,750,51,1
243,243,55,6,1
244,244,729,7,1
245,245,55,10,1
246,246,55,11,1
247,247,55,20,1
248,248,729,21,1
249,249,971,22,1
250,250,55,23,1
251,251,729,24,1
252,252,971,25,1
253,253,971,26,1
254,254,729,27,1
255,255,971,31,1
256,256,55,32,1
257,257,729,33,1
258,258,971,34,1
259,259,55,35,1
260,260,55,36,1
261,261,971,44,1
262,262,55,45,1
263,263,55,46,1
264,264,55,47,1
265,265,55,48,1
266,266,55,49,1
267,267,729,50,1
268,268,55,51,1
269,269,212,6,1
270,270,1044,7,1
271,271,1044,8,1
272,272,614,9,1
273,273,212,10,1
274,274,212,11,1
275,275,1044,12,1
276,276,1044,13,1
277,277,212,20,1
278,278,1044,21,1
279,279,818,22,1
280,280,212,23,1
281,281,1044,24,1
282,282,818,25,1
283,283,818,26,1
284,284,1044,27,1
285,285,818,31,1
286,286,212,32,1
287,287,1044,33,1
288,288,818,34,1
289,289,212,35,1
290,290,212,36,1
291,291,818,44,1
292,292,212,45,1
293,293,212,46,1
294,294,212,47,1
295,295,212,48,1
296,296,212,49,1
297,297,1044,50,1
298,298,212,51,1
299,299,212,52,1
300,300,1071,6,1
301,301,432,7,1
302,302,1071,10,1
303,303,1071,11,1
304,304,1071,20,1
305,305,432,21,1
306,306,461,22,1
307,307,1071,23,1
308,308,432,24,1
309,309,461,25,1
310,310,461,26,1
311,311,432,27,1
312,312,461,31,1
313,313,1071,32,1
314,314,432,33,1
315,315,461,34,1
316,316,1071,35,1
317,317,1071,36,1
318,318,461,44,1
319,319,1071,45,1
320,320,1071,47,1
321,321,1071,48,1
322,322,1071,49,1
323,323,432,50,1
324,324,1071,51,1
325,325,772,6,1
326,326,187,7,1
327,327,187,8,1
328,328,244,9,1
329,329,772,10,1
330,330,772,11,1
331,331,187,12,1
332,332,772,20,1
333,333,187,21,1
334,334,1212,22,1
335,335,772,23,1
336,336,187,24,1
337,337,1212,25,1
338,338,1212,26,1
339,339,187,27,1
340,340,1212,31,1
341,341,772,32,1
342,342,187,33,1
343,343,1212,34,1
344,344,772,35,1
345,345,772,36,1
346,346,1212,44,1
347,347,772,45,1
348,348,772,46,1
349,349,772,47,1
350,350,772,48,1
351,351,772,49,1
352,352,187,50,1
353,353,772,51,1
354,354,772,52,1
355,355,1081,6,1
356,356,175,7,1
357,357,1081,10,1
358,358,1081,11,1
359,359,1081,20,1
360,360,175,21,1
361,361,1061,22,1
362,362,1081,23,1
363,363,175,24,1
364,364,1061,25,1
365,365,1061,26,1
366,366,175,27,1
367,367,1061,31,1
368,368,1081,32,1
369,369,175,33,1
370,370,1061,34,1
371,371,1081,35,1
372,372,1081,36,1
373,373,1061,44,1
374,374,1081,45,1
375,375,1081,46,1
376,376,1081,47,1
377,377,1081,48,1
378,378,1081,49,1
379,379,175,50,1
380,380,1081,51,1
381,381,1185,6,1
382,382,976,7,1
383,383,1185,10,1
384,384,1185,11,1
385,385,1185,20,1
386,386,976,21,1
387,387,747,22,1
388,388,1185,23,1
389,389,976,24,1
390,390,747,25,1
391,391,747,26,1
392,392,976,27,1
393,393,747,31,1
394,394,1185,32,1
395,395,976,33,1
396,396,747,34,1
397,397,1185,35,1
398,398,1185,36,1
399,399,747,44,1
400,400,1185,45,1
401,401,1185,46,1
402,402,1185,47,1
403,403,1185,48,1
404,404,1185,49,1
405,405,976,50,1
406,406,1185,51,1
407,407,81,6,1
408,408,875,7,1
409,409,875,8,1
410,410,179,9,1
411,411,81,10,1
412,412,81,11,1
413,413,875,12,1
414,414,875,13,1
415,415,875,14,1
416,416,81,20,1
417,417,875,21,1
418,418,1144,22,1
419,419,81,23,1
420,420,875,24,1
421,421,1144,25,1
422,422,1144,26,1
423,423,875,27,1
424,424,1144,31,1
425,425,81,32,1
426,426,875,33,1
427,427,1144,34,1
428,428,81,35,1
429,429,81,36,1
430,430,1144,44,1
431,431,81,45,1
432,432,81,46,1
433,433,81,47,1
434,434,81,48,1
435,435,81,49,1
436,436,875,50,1
437,437,81,51,1
438,438,81,52,1
439,439,950,6,1
440,440,311,7,1
441,441,950,10,1
442,442,950,11,1
443,443,950,20,1
444,444,311,21,1
445,445,961,22,1
446,446,950,23,1
447,447,311,24,1
448,448,961,25,1
449,449,961,26,1
450,450,311,27,1
451,451,961,31,1
452,452,950,32,1
453,453,311,33,1
454,454,961,34,1
455,455,950,35,1
456,456,950,36,1
457,457,961,44,1
458,458,950,45,1
459,459,950,46,1
460,460,950,47,1
461,461,950,48,1
462,462,950,49,1
463,463,311,50,1
464,464,950,51,1
465,465,638,6,1
466,466,627,7,1
467,467,638,10,1
468,468,638,11,1
469,469,638,20,1
470,470,627,21,1
471,471,656,22,1
472,472,638,23,1
473,473,627,24,1
474,474,656,25,1
475,475,656,26,1
476,476,627,27,1
477,477,656,31,1
478,478,638,32,1
479,479,627,33,1
480,480,656,34,1
481,481,638,35,1
482,482,638,36,1
483,483,656,44,1
484,484,638,45,1
485,485,638,46,1
486,486,638,47,1
487,487,638,48,1
488,488,638,49,1
489,489,627,50,1
490,490,638,51,1
491,491,638,52,1
492,492,617,6,1
493,493,337,7,1
494,494,337,8,1
495,495,617,10,1
496,496,617,11,1
497,497,617,20,1
498,498,337,21,1
499,499,636,22,1
500,500,617,23,1
501,501,337,24,1
502,502,636,25,1
503,503,636,26,1
504,504,337,27,1
505,505,636,31,1
506,506,617,32,1
507,507,337,33,1
508,508,636,34,1
509,509,617,35,1
510,510,617,36,1
511,511,636,44,1
512,512,617,45,1
513,513,617,46,1
514,514,617,47,1
515,515,617,48,1
516,516,617,49,1
517,517,337,50,1
518,518,617,51,1
519,519,703,6,1
520,520,259,7,1
521,521,703,10,1
522,522,703,11,1
523,523,703,20,1
524,524,259,21,1
525,525,232,22,1
526,526,703,23,1
527,527,259,24,1
528,528,232,25,1
529,529,232,26,1
530,530,259,27,1
531,531,232,31,1
532,532,703,32,1
533,533,259,33,1
534,534,232,34,1
535,535,703,35,1
536,536,703,36,1
537,537,232,44,1
538,538,703,45,1
539,539,703,46,1
540,540,703,47,1
541,541,703,48,1
542,542,703,49,1
543,543,259,50,1
544,544,703,51,1
545,545,703,52,1
546,546,340,6,1
547,547,613,7,1
548,548,340,10,1
549,549,340,11,1
550,550,340,20,1
551,551,613,21,1
552,552,955,22,1
553,553,340,23,1
554,554,613,24,1
555,555,955,25,1
556,556,955,26,1
557,557,613,27,1
558,558,955,31,1
559,559,340,32,1
560,560,613,33,1
561,561,955,34,1
562,562,340,35,1
563,563,340,36,1
564,564,955,44,1
565,565,340,45,1
566,566,340,46,1
567,567,340,47,1
568,568,340,48,1
569,569,340,49,1
570,570,613,50,1
571,571,340,51,1
572,572,512,6,1
573,573,120,7,1
574,574,120,8,1
575,575,512,10,1
576,576,512,11,1
577,577,512,20,1
578,578,120,21,1
579,579,983,22,1
580,580,512,23,1
581,581,120,24,1
582,582,983,25,1
583,583,983,26,1
584,584,120,27,1
585,585,983,31,1
586,586,512,32,1
587,587,120,33,1
588,588,983,34,1
589,589,512,35,1
590,590,512,36,1
591,591,983,44,1
592,592,512,45,1
593,593,512,46,1
594,594,512,47,1
595,595,512,48,1
596,596,512,49,1
597,597,120,50,1
598,598,512,51,1
599,599,1132,6,1
600,600,114,7,1
601,601,1132,10,1
602,602,1132,11,1
603,603,1132,20,1
604,604,114,21,1
605,605,394,22,1
606,606,1132,23,1
607,607,114,24,1
608,608,394,25,1
609,609,394,26,1
610,610,114,27,1
611,611,394,31,1
612,612,1132,32,1
613,613,114,33,1
614,614,394,34,1
615,615,1132,35,1
616,616,1132,36,1
617,617,394,44,1
618,618,1132,45,1
619,619,1132,46,1
620,620,1132,47,1
621,621,1132,48,1
622,622,1132,49,1
623,623,114,50,1
624,624,1132,51,1
625,625,1132,52,1
626,626,97,6,1
627,627,1142,7,1
628,628,97,10,1
629,629,97,11,1
630,630,97,20,1
631,631,1142,21,1
632,632,874,22,1
633,633,97,23,1
634,634,1142,24,1
635,635,874,25,1
636,636,874,26,1
637,637,1142,27,1
638,638,874,31,1
639,639,97,32,1
640,640,1142,33,1
641,641,874,34,1
642,642,97,35,1
643,643,97,36,1
644,644,874,44,1
645,645,97,45,1
646,646,97,46,1
647,647,97,47,1
648,648,97,48,1
649,649,97,49,1
650,650,1142,50,1
651,651,97,51,1
652,652,683,6,1
653,653,278,7,1
654,654,278,8,1
655,655,171,9,1
656,656,683,10,1
657,657,683,11,1
658,658,683,20,1
659,659,278,21,1
660,660,76,22,1
661,661,683,23,1
662,662,278,24,1
663,663,76,25,1
664,664,76,26,1
665,665,278,27,1
666,666,76,31,1
667,667,683,32,1
668,668,278,33,1
669,669,76,34,1
670,670,683,35,1
671,671,683,36,1
672,672,76,44,1
673,673,683,45,1
674,674,683,46,1
675,675,683,47,1
676,676,683,48,1
677,677,683,49,1
678,678,278,50,1
679,679,683,51,1
680,680,683,52,1
681,681,1227,6,1
682,682,947,7,1
683,683,1227,10,1
684,684,1227,11,1
685,685,1227,20,1
686,686,947,21,1
687,687,1226,22,1
688,688,1227,23,1
689,689,947,24,1
690,690,1226,25,1
691,691,1226,26,1
692,692,1226,31,1
693,693,1227,32,1
694,694,947,33,1
695,695,1226,34,1
696,696,1227,35,1
697,697,1227,36,1
698,698,1226,44,1
699,699,1227,45,1
700,700,1227,46,1
701,701,1227,47,1
702,702,1227,48,1
703,703,1227,49,1
704,704,947,50,1
705,705,1227,51,1
706,706,1124,6,1
707,707,125,7,1
708,708,1124,10,1
709,709,1124,11,1
710,710,1124,20,1
711,711,125,21,1
712,712,1123,22,1
713,713,1124,23,1
714,714,1123,25,1
715,715,1123,26,1
716,716,1123,31,1
717,717,1124,32,1
718,718,125,33,1
719,719,1123,34,1
720,720,1124,35,1
721,721,1123,44,1
722,722,1124,45,1
723,723,1124,46,1
724,724,1124,47,1
725,725,1124,48,1
726,726,1124,49,1
727,727,125,50,1
728,728,1124,51,1
729,729,1124,52,1
730,730,425,6,1
731,731,531,7,1
732,732,425,10,1
733,733,425,11,1
734,734,425,20,1
735,735,531,21,1
736,736,1031,22,1
737,737,425,23,1
738,738,531,24,1
739,739,1031,25,1
740,740,1031,26,1
741,741,531,27,1
742,742,1031,31,1
743,743,425,32,1
744,744,531,33,1
745,745,1031,34,1
746,746,425,35,1
747,747,425,36,1
748,748,1031,44,1
749,749,425,45,1
750,750,425,46,1
751,751,425,47,1
752,752,425,48,1
753,753,425,49,1
754,754,531,50,1
755,755,425,51,1
756,756,1231,6,1
757,757,2,7,1
758,758,2,8,1
759,759,417,9,1
760,760,1231,10,1
761,761,1231,11,1
762,762,2,12,1
763,763,2,13,1
764,764,2,14,1
765,765,1231,20,1
766,766,2,21,1
767,767,630,22,1
768,768,1231,23,1
769,769,2,24,1
770,770,630,25,1
771,771,630,26,1
772,772,2,27,1
773,773,630,31,1
774,774,1231,32,1
775,775,2,33,1
776,776,630,34,1
777,777,1231,35,1
778,778,1231,36,1
779,779,630,44,1
780,780,1231,45,1
781,781,1231,46,1
782,782,1231,47,1
783,783,1231,48,1
784,784,1231,49,1
785,785,2,50,1
786,786,1231,51,1
787,787,1231,52,1
788,788,1064,6,1
789,789,1113,7,1
790,790,1113,8,1
791,791,565,9,1
792,792,1064,10,1
793,793,1064,11,1
794,794,1113,12,1
795,795,1113,13,1
796,796,1113,14,1
797,797,1064,20,1
798,798,1113,21,1
799,799,605,22,1
800,800,1064,23,1
801,801,1113,24,1
802,802,605,25,1
803,803,605,26,1
804,804,1113,27,1
805,805,605,31,1
806,806,1064,32,1
807,807,1113,33,1
808,808,605,34,1
809,809,1064,35,1
810,810,1064,36,1
811,811,605,44,1
812,812,1064,45,1
813,813,1064,46,1
814,814,1064,47,1
815,815,1064,48,1
816,816,1064,49,1
817,817,1113,50,1
818,818,1064,51,1
819,819,438,6,1
820,820,836,7,1
821,821,438,10,1
822,822,438,11,1
823,823,438,20,1
824,824,836,21,1
825,825,1046,22,1
826,826,438,23,1
827,827,836,24,1
828,828,1046,25,1
829,829,1046,26,1
830,830,836,27,1
831,831,1046,31,1
832,832,438,32,1
833,833,836,33,1
834,834,1046,34,1
835,835,438,35,1
836,836,438,36,1
837,837,1046,44,1
838,838,438,45,1
839,839,438,46,1
840,840,438,47,1
841,841,438,48,1
842,842,438,49,1
843,843,836,50,1
844,844,438,51,1
845,845,322,6,1
846,846,942,7,1
847,847,322,10,1
848,848,322,11,1
849,849,322,20,1
850,850,942,21,1
851,851,320,22,1
852,852,322,23,1
853,853,942,24,1
854,854,320,25,1
855,855,320,26,1
856,856,942,27,1
857,857,320,31,1
858,858,322,32,1
859,859,942,33,1
860,860,320,34,1
861,861,322,35,1
862,862,322,36,1
863,863,320,44,1
864,864,322,45,1
865,865,322,46,1
866,866,322,47,1
867,867,322,48,1
868,868,322,49,1
869,869,942,50,1
870,870,322,51,1
871,871,693,6,1
872,872,267,7,1
873,873,693,10,1
874,874,693,11,1
875,875,693,20,1
876,876,267,21,1
877,877,67,22,1
878,878,693,23,1
879,879,267,24,1
880,880,67,25,1
881,881,67,26,1
882,882,267,27,1
883,883,67,31,1
884,884,693,32,1
885,885,267,33,1
886,886,67,34,1
887,887,693,35,1
888,888,693,36,1
889,889,67,44,1
890,890,693,45,1
891,891,693,46,1
892,892,693,47,1
893,893,693,48,1
894,894,693,49,1
895,895,267,50,1
896,896,693,51,1
897,897,1216,6,1
898,898,18,7,1
899,899,1216,10,1
900,900,1216,11,1
901,901,1216,20,1
902,902,18,21,1
903,903,758,22,1
904,904,1216,23,1
905,905,18,24,1
906,906,758,25,1
907,907,758,26,1
908,908,18,27,1
909,909,758,31,1
910,910,1216,32,1
911,911,18,33,1
912,912,758,34,1
913,913,1216,35,1
914,914,1216,36,1
915,915,758,44,1
916,916,1216,45,1
917,917,1216,46,1
918,918,1216,47,1
919,919,1216,48,1
920,920,1216,49,1
921,921,18,50,1
922,922,1216,51,1
923,923,54,6,1
924,924,962,7,1
925,925,54,10,1
926,926,54,11,1
927,927,54,20,1
928,928,962,21,1
929,929,31,22,1
930,930,54,23,1
931,931,962,24,1
932,932,31,25,1
933,933,31,26,1
934,934,31,31,1
935,935,54,32,1
936,936,962,33,1
937,937,31,34,1
938,938,54,35,1
939,939,54,36,1
940,940,31,44,1
941,941,54,45,1
942,942,54,47,1
943,943,54,48,1
944,944,54,49,1
945,945,962,50,1
946,946,54,51,1
947,947,1106,6,1
948,948,184,7,1
949,949,184,8,1
